UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LILSYN,XLSTOTAL,LSTOTAL,XLSLIBRN,LSLIBRN,XLSOPROF,LSOPROF,XLSOPAID,LSOPAID,XLSSTAST,LSSTAST,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
100654,1,2,R,367454,R,228749,R,107,R,26186,R,38684,R,1392,R,132597,R,395032,R,400137,R,795169,R,544,R,134785,R,135329,1,R,1836,R,258,1,R,26,R,9,R,5,R,1,R,11,R,0,R,895925,1,R,287779,R,29577,R,425257,R,309946,R,764780,R,17280,R,741184,R,758464,R,2706948,2419169
100663,1,2,R,902731,R,836128,R,617,R,33897,R,30710,R,27583,R,172890,R,964211,R,1040345,R,2004556,R,30402,R,3139940,R,3170342,1,R,14302,R,3307,1,R,89.3,R,38,R,11,R,22.9,R,17.4,R,1,R,4541780,1,R,1803319,R,3488038,R,7309017,R,232602,R,11029657,R,10816,R,2619685,R,2630501,R,20005257,18201938
100690,1,2,R,50472,R,746,R,62,R,0,R,0,R,1220,R,0,R,51692,R,808,R,52500,R,5,R,29328,R,29333,1,R,1,R,347,1,R,1,R,1,R,0,R,0,R,0,R,0,R,52655,2,R,0,R,13048,R,67310,R,7502,R,87860,R,0,R,5199,R,5199,R,145714,145714
100706,1,2,R,210388,R,859170,R,258,R,14777,R,277782,R,921,R,91354,R,226086,R,1228564,R,1454650,R,2523,R,331617,R,334140,1,R,5041,R,1840,1,R,37.14,R,11.8,R,4,R,9.33,R,12.01,R,0,R,1481428,2,Z,0,R,47789,R,1506435,R,27521,R,1581745,R,7126,R,134669,R,141795,R,3204968,3204968
100724,1,2,R,224758,R,108091,R,189,R,34696,R,1,R,1616,R,5922,R,261070,R,114203,R,375273,R,792,R,39529,R,40321,1,R,205,R,23,1,R,49,R,13,R,4,R,17,R,15,R,0,R,1667528,1,R,447847,R,40359,R,332769,R,0,R,373128,R,5000,R,269764,R,274764,R,2763267,2315420
100751,1,2,R,2193211,R,3007450,R,668,R,189164,R,249197,R,73242,R,265693,R,2455617,R,3523008,R,5978625,R,35940,R,3508186,R,3544126,1,R,10995,R,6641,1,R,170,R,48,R,32,R,42,R,48,R,7,R,8264643,2,Z,0,R,1430729,R,11311109,R,797488,R,13539326,R,13512,R,3063027,R,3076539,R,24880508,24880508
100760,1,2,R,14638,R,8656,R,4,R,105,R,0,R,0,R,0,R,14743,R,8660,R,23403,R,1137,R,2,R,1139,1,R,0,R,0,1,R,2,R,0,R,1,R,1,R,0,R,2,R,146657,1,R,49263,R,0,R,23073,R,319,R,23392,R,0,R,183,R,183,R,219495,170232
100812,1,2,R,90076,R,648632,R,41,R,162,R,39584,R,81,R,74259,R,90319,R,762516,R,852835,R,837,R,2809,R,3646,1,R,892,R,153,1,R,10.5,R,7,R,2,R,0,R,1.5,R,0,R,569008,1,R,233863,R,47396,R,240075,R,0,R,287471,R,2238,R,28391,R,30629,R,1120971,887108
100830,1,2,R,610227,R,718308,R,168,R,4279,R,167,R,971,R,64131,R,615477,R,782774,R,1398251,R,2596,R,1878,R,4474,1,R,581,R,963,1,R,30,R,8,R,10,R,3,R,9,R,0,R,1031820,1,R,301474,R,42878,R,440644,R,50172,R,533694,R,100,R,122880,R,122980,R,1989968,1688494
100858,1,2,R,1674859,R,1536940,R,373,R,736294,R,198245,R,66376,R,232335,R,2477529,R,1967893,R,4445422,R,42969,R,2265650,R,2308619,1,R,16812,R,4885,1,R,148.75,R,32,R,29,R,25.5,R,62.25,R,2,R,5924554,1,R,1583841,R,964050,R,8711131,R,78276,R,9753457,R,27015,R,1754012,R,1781027,R,19042879,17459038
100937,1,2,R,236155,R,583888,R,156,R,32407,R,197456,R,5937,R,89515,R,274499,R,871015,R,1145514,R,1277,R,213643,R,214920,1,R,641,R,527,1,R,13,R,6,R,0,R,4,R,3,R,0,R,533473,1,R,105468,R,9815,R,300537,R,727,R,311079,R,1266,R,80220,R,81486,R,1031506,926038
101028,1,2,R,40088,R,28539,R,104,R,537,R,0,R,0,R,24856,R,40625,R,53499,R,94124,R,845,R,895,R,1740,1,R,24,R,1,1,R,2,R,1,R,1,R,0,R,0,R,0,R,155283,1,R,60229,R,3520,R,0,R,3285,R,6805,R,0,R,0,R,0,R,222317,162088
101116,2,2,R,10109,R,687073,R,100,R,1295,R,212641,R,0,R,197533,R,11404,R,1097347,R,1108751,R,0,R,849,R,849,1,R,0,R,1,1,R,1,R,1,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
101143,1,2,R,7336,R,18010,R,3,R,15,R,0,R,14,R,0,R,7365,R,18013,R,25378,R,100,R,9,R,109,1,R,0,R,0,1,R,5.48,R,1,R,2,R,0.48,R,2,R,0,R,69002,1,R,15624,R,0,R,772,R,10142,R,10914,R,22,R,7854,R,7876,R,103416,87792
101161,1,2,R,126407,R,273251,R,93,R,9039,R,0,R,77,R,0,R,135523,R,273344,R,408867,R,3200,R,2393,R,5593,1,R,0,R,0,1,R,16.5,R,3,R,7.13,R,2.37,R,4,R,8,R,641390,1,R,228358,R,28008,R,65638,R,43655,R,137301,R,0,R,27475,R,27475,R,1034524,806166
101189,1,2,R,107917,R,519690,R,136,R,1281,Z,0,R,610,R,133279,R,109808,R,653105,R,762913,R,898,R,4543,R,5441,1,R,826,R,329,1,R,12.5,R,3.5,R,0,R,2,R,7,R,4,R,262615,2,Z,0,R,1003,R,208479,R,15480,R,224962,R,5000,R,19834,R,24834,R,512411,512411
101240,1,2,R,52719,R,63672,R,71,R,5852,R,90,R,84,R,85277,R,58655,R,149110,R,207765,R,2085,R,146956,R,149041,1,R,0,R,0,1,R,12,R,3,R,3,R,4,R,2,R,3,R,292011,1,R,90520,R,4064,R,16164,R,3702,R,23930,R,0,R,67056,R,67056,R,473517,382997
101286,1,2,R,23888,R,600,R,8,R,2113,R,1,R,34,R,5,R,26035,R,614,R,26649,R,1760,R,7497,R,9257,1,R,0,R,6,1,R,11.18,R,3.71,R,2,R,0.47,R,5,R,1,R,271221,1,R,69583,R,16258,R,26086,R,5674,R,48018,R,0,R,512,R,512,R,389334,319751
101295,1,2,R,41422,R,3367656,R,152,R,9631,R,13175900,R,1,R,420656,R,51054,R,16964364,R,17015418,R,4745,R,27723,R,32468,1,R,0,R,0,1,R,15,R,2,R,3,R,3,R,7,R,1,R,317098,1,R,98367,R,23516,R,110224,R,3125,R,136865,R,0,R,509,R,509,R,552839,454472
101301,2,2,R,23612,R,96,R,6,R,681,R,0,R,88,R,5100,R,24381,R,5202,R,29583,R,1500,R,43,R,1543,2,A,,A,,1,R,4,R,1,R,1,R,0,R,2,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
101365,2,1,A,,R,409243,R,119,A,,R,166473,A,,R,92856,A,,R,668691,R,668691,A,,R,413944,R,413944,1,R,0,R,0,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
101435,1,2,R,71341,R,106622,R,130,R,4677,R,35,R,266,R,51900,R,76284,R,158687,R,234971,R,1483,R,49263,R,50746,1,R,174,R,165,1,R,7.15,R,4,R,1,R,1.12,R,1.03,R,0,R,299588,1,R,47662,R,45854,R,90440,R,6012,R,142306,R,0,R,81218,R,81218,R,570774,523112
101453,1,2,R,109685,R,10789,R,3,R,2365,R,0,R,16048,R,650,R,128098,R,11442,R,139540,R,767,R,1159,R,1926,1,R,0,R,0,1,R,1,R,1,R,0,R,0,R,0,R,0,R,52320,1,R,12964,R,29885,R,3933,R,37785,R,71603,R,0,R,13311,R,13311,R,150198,137234
101462,1,2,R,13622,R,424683,R,110,R,725,R,0,R,115,R,33,R,14462,R,424826,R,439288,R,72,R,18608,R,18680,2,A,,A,,1,R,3,R,2,R,0,R,0,R,1,R,0,R,139988,1,R,44233,R,22792,R,55634,R,0,R,78426,R,0,R,51939,R,51939,R,314586,270353
101480,1,2,R,636656,R,306715,R,447,R,10079,R,240564,R,65263,R,235744,R,711998,R,783470,R,1495468,R,6763,R,203264,R,210027,1,R,1192,R,199,1,R,45,R,14,R,15,R,0,R,16,R,0,R,1443497,2,Z,0,R,219489,R,769298,R,0,R,988787,R,0,R,61316,R,61316,R,2493600,2493600
101505,1,2,R,41684,R,253808,R,59,R,0,R,43569,R,46,R,158158,R,41730,R,455594,R,497324,R,6,R,148823,R,148829,2,A,,A,,1,R,7,R,4,R,2,R,1,R,0,R,3,R,412047,1,R,143876,R,1106,R,195801,R,0,R,196907,R,0,R,57184,R,57184,R,810014,666138
101514,1,2,R,48523,R,50495,R,9,R,295,R,0,R,0,R,0,R,48818,R,50504,R,99322,R,535,R,1573,R,2108,1,R,0,R,6,1,R,15,R,2,R,4,R,7,R,2,R,1,R,427984,1,R,132999,R,7782,R,26979,R,49309,R,84070,R,190,R,73632,R,73822,R,718875,585876
101569,1,2,R,31580,R,71088,R,89,R,570,R,50981,R,21,R,31443,R,32171,R,153601,R,185772,R,658,R,8966,R,9624,2,A,,A,,1,R,7,R,3,R,2,R,1,R,1,R,1,R,387466,1,R,134634,R,0,R,28493,R,13227,R,41720,R,0,R,38260,R,38260,R,602080,467446
101587,1,2,R,119171,R,2809,R,213,R,15805,R,100,R,356,R,53447,R,135332,R,56569,R,191901,R,890,R,7,R,897,1,R,120,R,235,1,R,8.4,R,4,R,1,R,0,R,3.4,R,0,R,415981,2,Z,0,R,0,R,234081,R,1160,R,235241,R,0,R,5358,R,5358,R,656580,656580
101602,1,2,R,25556,R,46908,R,68,R,1210,R,93838,R,1,R,0,R,26767,R,140814,R,167581,R,943,R,78,R,1021,1,R,16,R,17,1,R,3,R,1,R,2,R,0,R,0,R,3,R,176682,1,R,61573,R,709,R,26467,R,1326,R,28502,R,0,R,0,R,0,R,266757,205184
101648,1,2,R,21537,R,9265,R,7,R,445,R,0,R,1478,R,0,R,23460,R,9272,R,32732,R,1071,R,3031,R,4102,1,R,0,R,0,1,R,7,R,3,R,2,R,0,R,2,R,0,R,111515,1,R,38815,R,1898,R,5743,R,0,R,7641,R,0,R,3375,R,3375,R,161346,122531
101675,1,2,R,41613,R,150000,R,69,R,1459,R,0,R,11504,R,0,R,54576,R,150069,R,204645,R,105,R,501,R,606,2,A,,A,,1,R,8,R,2,R,1,R,1,R,4,R,0,R,93000,1,R,22500,R,0,R,3000,R,0,R,3000,R,19486,R,0,R,19486,R,137986,115486
101693,1,2,R,36491,R,177849,R,90,R,398,R,0,R,0,R,45702,R,36889,R,223641,R,260530,R,2175,R,7796,R,9971,1,R,2,R,25,1,R,8,R,2,R,0,R,1,R,5,R,0,R,127369,2,Z,0,R,0,R,147687,R,0,R,147687,R,0,R,31129,R,31129,R,306185,306185
101709,1,2,R,192543,R,350887,R,110,R,4734,R,51258,R,1395,R,84775,R,198672,R,487030,R,685702,R,2628,R,76209,R,78837,1,R,1738,R,683,1,R,16.5,R,7,R,0,R,4.7,R,4.8,R,0,R,699662,1,R,189186,R,48560,R,264254,R,13824,R,326638,R,8913,R,78172,R,87085,R,1302571,1113385
101736,1,2,R,31322,R,38166,R,106,R,902,R,4,R,0,R,0,R,32224,R,38276,R,70500,R,2220,R,4071,R,6291,1,R,0,R,7,1,R,7.78,R,2,R,1,R,1.78,R,3,R,1,R,250350,1,R,77711,R,5771,R,11125,R,0,R,16896,R,0,R,3861,R,3861,R,348818,271107
101879,1,2,R,217193,R,632094,R,221,R,9828,R,122568,R,2312,R,92305,R,229333,R,847188,R,1076521,R,9747,R,232755,R,242502,1,R,332,R,959,1,R,22.48,R,8,R,1,R,9.4,R,4.08,R,1,R,1034622,1,R,331244,R,76606,R,919644,R,16564,R,1012814,R,0,R,193493,R,193493,R,2572173,2240929
101897,1,2,R,43830,R,287291,R,70,R,812,R,83357,R,156,R,25492,R,44798,R,396210,R,441008,R,2160,R,3216,R,5376,1,R,4,R,5,1,R,5.5,R,3.25,R,1,R,1.25,R,0,R,0,R,341970,1,R,114808,R,12460,R,53859,R,0,R,66319,R,0,R,34689,R,34689,R,557786,442978
101912,1,2,R,85497,R,2543045,R,106,R,5961,R,2401345,R,48,R,48081,R,91506,R,4992577,R,5084083,R,875,R,728566,R,729441,1,R,168,R,35,1,R,13.5,R,4,R,1,R,3.5,R,5,R,0,R,363920,1,R,179000,R,17334,R,235153,R,15000,R,267487,R,1100,R,39290,R,40390,R,850797,671797
101994,1,2,R,4666,R,785000,R,4,R,258,R,0,R,32,R,3097,R,4956,R,788101,R,793057,R,19,R,754,R,773,2,A,,A,,1,R,2,R,1,R,1,R,0,R,0,R,0,R,79007,1,R,25280,R,967,R,27377,R,4431,R,32775,R,0,R,0,R,0,R,137062,111782
102030,1,2,R,2109,R,180000,R,5,R,4923,R,11427,R,99,R,0,R,7131,R,191432,R,198563,R,350,R,1450,R,1800,2,A,,A,,1,R,6,R,1,R,3,R,0,R,2,R,2,R,112699,1,R,150952,R,4666,R,53498,R,5350,R,63514,R,0,R,14345,R,14345,R,341510,190558
102049,1,2,R,284057,R,302349,R,338,R,14737,R,165213,R,6167,R,112732,R,304961,R,580632,R,885593,R,33364,R,30945,R,64309,1,R,2309,R,4495,1,R,40.13,R,19,R,0,R,17.5,R,3.63,R,2,R,2150795,1,R,816762,R,56117,R,1077370,R,32076,R,1165563,R,2003,R,233479,R,235482,R,4368602,3551840
102058,2,2,R,25600,R,70,R,5,R,0,R,132,R,0,R,0,R,25600,R,207,R,25807,R,630,R,750,R,1380,1,R,5,R,5,1,R,2,R,1,R,0,R,0,R,1,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
102067,1,2,R,39024,R,29142,R,10,R,273,R,0,R,1,R,0,R,39298,R,29152,R,68450,R,5947,R,5057,R,11004,2,A,,A,,1,R,6,R,4,R,2,R,0,R,0,R,1,R,418004,1,R,137425,R,37267,R,38228,R,0,R,75495,R,0,R,10341,R,10341,R,641265,503840
102076,1,1,A,,R,184741,R,74,A,,R,38721,A,,R,0,A,,R,223536,R,223536,A,,R,175,R,175,1,R,0,R,0,1,R,2,R,2,R,0,R,0,R,0,R,0,R,171638,1,R,53624,R,0,R,24959,R,0,R,24959,R,0,R,7682,R,7682,R,257903,204279
102094,1,2,R,375842,R,578577,R,218,R,23181,R,75945,R,16022,R,77876,R,415045,R,732616,R,1147661,R,4445,R,393342,R,397787,1,R,3020,R,2489,1,R,62.68,R,18,R,8,R,31,R,5.68,R,2,R,2372797,1,R,843041,R,63008,R,4686923,R,271285,R,5021216,R,0,R,77979,R,77979,R,8315033,7471992
102234,1,2,R,136531,R,294686,R,106,R,14947,R,22532,R,2418,R,75718,R,153896,R,393042,R,546938,R,442,R,19586,R,20028,1,R,152,R,119,1,R,6.7,R,3,R,3,R,0,R,0.7,R,1,R,237177,2,Z,0,R,0,R,115498,R,0,R,115498,R,0,R,86254,R,86254,R,438929,438929
102270,1,2,R,119000,R,217394,R,104,R,6227,R,0,R,0,R,0,R,125227,R,217498,R,342725,R,865,R,17947,R,18812,1,R,0,R,13,1,R,4,R,2,R,2,R,0,R,0,R,0,R,159068,1,R,26725,R,9122,R,560,R,1113,R,10795,R,0,R,16288,R,16288,R,212876,186151
102298,1,2,R,58176,R,517278,R,209,R,410,R,24782,R,504,R,162,R,59090,R,542431,R,601521,R,281,R,212281,R,212562,1,R,0,R,0,1,R,12,R,4,R,2,R,0,R,6,R,0,R,156000,1,R,14180,R,7690,R,60000,R,1602,R,69292,R,1000,R,0,R,1000,R,240472,226292
102313,1,2,R,4901,R,1386,R,32,R,43,R,0,R,0,R,71,R,4944,R,1489,R,6433,R,1741,R,304,R,2045,2,A,,A,,1,R,15,R,2,R,1,R,2,R,10,R,1,R,247301,1,R,73408,R,35098,R,87937,R,26793,R,149828,R,0,R,0,R,0,R,470537,397129
102368,1,2,R,264106,R,549049,R,299,R,9037,R,361344,R,3587,R,288969,R,276730,R,1199661,R,1476391,R,2507,R,211538,R,214045,1,R,2542,R,829,1,R,27.5,R,10.5,R,2,R,10.75,R,4.25,R,2,R,1201164,1,R,427107,R,71951,R,1490110,R,5559,R,1567620,R,14454,R,321666,R,336120,R,3532011,3104904
102377,1,2,R,382457,R,377,R,412,R,2889,R,1021,R,1513,R,53,R,386859,R,1863,R,388722,R,876,R,3047,R,3923,1,R,166,R,97,1,R,58,R,9,R,18,R,0,R,31,R,5,R,791638,1,R,142111,R,81630,R,1887625,R,102000,R,2071255,R,387000,R,93230,R,480230,R,3485234,3343123
102395,1,2,R,8734,R,21775,R,55,R,219,R,0,R,540,R,77116,R,9493,R,98946,R,108439,R,126,R,6995,R,7121,1,R,33,R,13,1,R,1,R,1,R,0,R,0,R,0,R,0,R,60063,1,R,11709,R,5099,R,50951,R,6955,R,63005,R,0,R,5371,R,5371,R,140148,128439
102429,1,2,R,62797,R,1306,R,108,R,1531,R,0,R,58,R,0,R,64386,R,1414,R,65800,R,1451,R,1596,R,3047,1,R,0,R,0,1,R,7.5,R,3,R,3,R,1.5,R,0,R,4,R,400513,1,R,134125,R,10814,R,2235,R,19755,R,32804,R,0,R,0,R,0,R,567442,433317
102553,1,2,R,951482,R,508134,R,149,R,514379,R,88532,R,17312,R,143432,R,1483173,R,740247,R,2223420,R,24747,R,179019,R,203766,1,R,8273,R,2079,1,R,67.45,R,26,R,5,R,23.95,R,12.5,R,4,R,3072748,1,R,1342545,R,118833,R,1245990,R,22961,R,1387784,R,12753,R,312681,R,325434,R,6128511,4785966
102580,2,2,R,30933,R,11,R,1,R,262,R,0,R,2,R,0,R,31197,R,12,R,31209,R,1980,R,2035,R,4015,2,A,,A,,1,R,1,R,1,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
102614,1,2,R,505355,R,621238,R,184,R,146542,R,170295,R,19015,R,82046,R,670912,R,873763,R,1544675,R,9594,R,164086,R,173680,1,R,9263,R,2843,1,R,45,R,8,R,7,R,20,R,10,R,1,R,2234212,1,R,923468,R,43120,R,1809254,R,0,R,1852374,R,0,R,0,R,0,R,5010054,4086586
102632,1,2,R,153118,R,404081,R,126,R,6883,R,13528,R,3453,R,111721,R,163454,R,529456,R,692910,R,13130,R,35130,R,48260,1,R,3464,R,995,1,R,12.74,R,3.48,R,1.8,R,5.31,R,2.15,R,1,R,518609,1,R,298609,R,19351,R,67189,R,10213,R,96753,R,7876,R,51730,R,59606,R,973577,674968
102845,1,1,A,,R,0,R,4,A,,R,0,A,,R,0,A,,R,4,R,4,A,,R,33274,R,33274,2,A,,A,,1,R,1,R,1,R,0,R,0,R,0,R,0,R,57923,1,R,11872,R,0,R,74692,R,0,R,74692,R,0,R,0,R,0,R,144487,132615
103501,2,2,R,1097,R,0,R,1,R,6,R,0,R,18,R,0,R,1121,R,1,R,1122,R,121,R,18204,R,18325,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
103963,2,2,R,1021,R,313480,R,83,R,0,R,1429,R,98,R,29446,R,1119,R,344438,R,345557,R,0,R,13556,R,13556,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
104090,2,1,A,,R,223009,R,151,A,,R,40000,A,,R,136,A,,R,263296,R,263296,A,,R,39563,R,39563,1,R,0,R,76,1,R,1,R,1,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
104151,1,2,R,2451710,R,2415860,R,723,R,859571,R,258500,R,67161,R,179398,R,3378442,R,2854481,R,6232923,R,38971,R,3962710,R,4001681,1,R,12767,R,25070,1,R,194,R,48,R,1,R,145,R,0,R,7,R,11735173,1,R,3445833,R,1505362,R,11667250,R,138604,R,13311216,R,26653,R,3741888,R,3768541,R,32260763,28814930
104160,1,2,R,53725,R,100147,R,46,R,4866,R,40133,R,494,R,16714,R,59085,R,157040,R,216125,R,2919,R,62957,R,65876,1,R,0,R,9,1,R,12.55,R,6.01,R,0,R,6.04,R,0.5,R,0,R,532190,1,R,173433,R,88539,R,145873,R,2020,R,236432,R,1976,R,100151,R,102127,R,1044182,870749
104179,1,2,R,2378547,R,3430518,R,855,R,271058,R,155727,R,26200,R,397217,R,2675805,R,3984317,R,6660122,R,24603,R,6756221,R,6780824,1,R,18075,R,9585,1,R,201.02,R,52,R,65.7,R,55.75,R,27.57,R,3,R,11758448,1,R,3547149,R,1527693,R,12635593,R,1172658,R,15335944,R,0,R,4936807,R,4936807,R,35578348,32031199
104346,1,2,R,85000,R,220369,Z,0,R,3155,R,40365,R,1,R,28,R,88156,R,260762,R,348918,R,8527,R,89953,R,98480,1,R,697,R,7,1,R,14,R,5,R,1,R,5,R,3,R,5,R,490829,1,R,160906,R,80000,R,75000,R,0,R,155000,R,0,R,0,R,0,R,806735,645829
104425,1,2,R,43412,R,266556,R,144,R,6345,R,141473,R,28,R,0,R,49785,R,408173,R,457958,R,1983,R,82803,R,84786,1,R,155,R,103,1,R,12,R,4,R,2,R,4,R,2,R,1,R,539647,1,R,143248,R,12406,R,114110,R,0,R,126516,R,0,R,22277,R,22277,R,831688,688440
104577,1,2,R,13412,R,267139,R,106,R,3924,R,83364,R,27,R,66365,R,17363,R,416974,R,434337,R,11341,R,372085,R,383426,2,A,,A,,1,R,9,R,1,R,1,R,5,R,2,R,2,R,325170,1,R,76884,R,42719,R,131971,R,0,R,174690,R,0,R,76400,R,76400,R,653144,576260
104586,1,2,R,22536,R,933470,R,98,R,2705,R,89131,R,129,R,111369,R,25370,R,1134068,R,1159438,R,9481,R,129538,R,139019,1,R,2598,R,1371,1,R,18.5,R,8,R,6,R,0,R,4.5,R,0,R,937588,1,R,233315,R,36678,R,280196,R,0,R,316874,R,0,R,83795,R,83795,R,1571572,1338257
104665,2,2,R,10173,Z,0,R,2,R,25,Z,0,R,26,R,0,R,10224,R,2,R,10226,R,221,R,101,R,322,2,A,,A,,1,R,0.5,R,0.25,R,0,R,0,R,0.25,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
104708,1,2,R,84777,R,380297,R,102,R,24398,R,39916,R,57,R,78868,R,109232,R,499183,R,608415,R,8098,R,138033,R,146131,1,R,464,R,103,1,R,21.43,R,8,R,7.75,R,1.28,R,4.4,R,1,R,1180581,2,R,0,R,156006,R,250184,R,0,R,406190,R,0,R,18234,R,18234,R,1605005,1605005
104717,1,2,R,5753,R,293156,R,261,R,27,R,35462,R,6,R,119502,R,5786,R,448381,R,454167,R,821,R,9074482,R,9075303,1,R,259,R,5350,1,R,43.5,R,22.5,R,0,R,6,R,15,R,0,R,1518918,2,Z,0,R,159358,R,1517558,R,14595,R,1691511,R,904,R,201819,R,202723,R,3413152,3413152
105145,1,2,R,33347,R,592792,R,351,R,2874,R,123245,R,32,R,100558,R,36253,R,816946,R,853199,R,4120,R,72538,R,76658,1,R,134,R,16,1,R,7.41,R,3.91,R,3,R,0.5,R,0,R,0,R,378018,2,R,0,R,23553,R,176722,R,1095,R,201370,R,0,R,1714,R,1714,R,581102,581102
105154,1,2,R,51878,R,415000,R,185,R,1177,R,40000,R,243,R,35,R,53298,R,455220,R,508518,R,4836,R,279695,R,284531,1,R,197,R,12,1,R,38,R,7,R,7,R,24,R,0,R,1,R,1410314,1,R,442068,R,79884,R,280083,R,16512,R,376479,R,0,R,17459,R,17459,R,2246320,1804252
105206,1,2,R,19761,R,238200,R,86,R,1286,R,42848,R,1043,R,8,R,22090,R,281142,R,303232,R,2452,R,83873,R,86325,1,R,225,R,207,1,R,11,R,3,R,0,R,5,R,3,R,4,R,364571,2,Z,0,R,28022,R,95246,R,6478,R,129746,R,0,R,3271,R,3271,R,497588,497588
105215,1,2,R,165,R,0,R,20,R,0,R,1260,R,14,R,0,R,179,R,1280,R,1459,R,170,R,16,R,186,2,A,,A,,1,R,1,R,0,R,1,R,0,R,0,R,0,R,118255,2,Z,0,R,0,R,650,R,350,R,1000,R,0,R,0,R,0,R,119255,119255
105297,1,2,R,125673,R,8009,R,54,R,5156,R,256765,R,115,R,0,R,130944,R,264828,R,395772,R,1980,R,2567,R,4547,1,R,0,R,156,1,R,8,R,4,R,1,R,3,R,0,R,2,R,416547,1,R,119506,R,50000,R,175000,R,0,R,225000,R,1500,R,7100,R,8600,R,769653,650147
105330,1,2,R,544295,R,856026,R,123,R,44721,R,122256,R,11159,R,124889,R,600175,R,1103294,R,1703469,R,7987,R,775143,R,783130,1,R,8805,R,12358,1,R,52,R,25,R,2,R,18,R,7,R,0,R,3233297,2,Z,0,R,62186,R,1438162,R,154898,R,1655246,R,1182,R,419244,R,420426,R,5308969,5308969
105349,1,2,R,43662,R,5340,R,88,R,5190,R,0,R,88,R,21,R,48940,R,5449,R,54389,R,6436,R,98085,R,104521,1,R,126,R,18,1,R,8.54,R,3,R,3,R,2.16,R,0.38,R,8,R,362926,1,R,119862,R,49265,R,86370,R,2641,R,138276,R,0,R,7543,R,7543,R,628607,508745
105428,1,2,R,53296,R,272895,R,94,R,5569,R,125252,R,7,R,57333,R,58872,R,455574,R,514446,R,4100,R,113402,R,117502,1,R,652,R,182,1,R,14.62,R,5.57,R,0,R,8.38,R,0.67,R,0,R,840737,2,R,0,R,77293,R,230376,R,1094,R,308763,R,0,R,13170,R,13170,R,1162670,1162670
105525,1,2,R,251093,R,32150,R,103,R,18569,R,65256,R,254,R,54,R,269916,R,97563,R,367479,R,31667,R,644677,R,676344,1,R,135,R,40,1,R,46.5,R,16,R,1,R,18.5,R,11,R,5,R,2237848,1,R,671480,R,240644,R,372109,R,16669,R,629422,R,0,R,224576,R,224576,R,3763326,3091846
105534,2,1,A,,R,234156,R,9,A,,Z,0,A,,Z,0,A,,R,234165,R,234165,A,,R,319348,R,319348,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
105589,1,2,R,1300,R,31574,R,119385,R,286,R,2744,R,163,R,9164,R,1749,R,162867,R,164616,R,1719,R,53072,R,54791,1,R,1688,R,183,1,R,5.5,R,1,R,2.5,R,0,R,2,R,2,R,183123,1,R,27302,R,1955,R,192587,R,0,R,194542,R,0,R,27741,R,27741,R,432708,405406
105659,2,2,R,57,R,0,R,1,R,4,R,0,R,20,R,0,R,81,R,1,R,82,R,4,R,2500,R,2504,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
105668,1,2,R,14242,R,391794,R,116,R,2840,R,41706,R,28,R,48837,R,17110,R,482453,R,499563,R,517,R,319365,R,319882,1,R,6,R,81,1,R,6,R,2,R,1,R,3,R,0,R,0,R,459036,2,Z,0,R,8003,R,188629,R,7284,R,203916,R,0,R,0,R,0,R,662952,662952
