UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LILSYN,XLSTOTAL,LSTOTAL,XLSLIBRN,LSLIBRN,XLSOPROF,LSOPROF,XLSOPAID,LSOPAID,XLSSTAST,LSSTAST,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
485458,1,2,R,18426,R,108900,R,75,R,246,R,53000,R,68,R,0,R,18740,R,161975,R,180715,R,390,R,23529,R,23919,2,A,,A,,1,R,13,R,3,R,1,R,9,R,0,R,7,R,279433,1,R,104106,R,6445,R,74975,R,39759,R,121179,R,116,R,15793,R,15909,R,520627,416521
485500,2,2,R,350,R,500,R,0,R,30,R,500,R,0,R,0,R,380,R,1000,R,1380,R,0,R,150,R,150,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
485519,2,1,A,,R,137623,R,46,A,,R,3110,A,,R,63524,A,,R,204303,R,204303,A,,R,1230,R,1230,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
485546,2,1,A,,R,250099,R,123,A,,R,1659,A,,R,163340,A,,R,415221,R,415221,A,,R,547,R,547,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
485564,2,1,A,,R,75,R,100,A,,R,100,A,,R,100,A,,R,375,R,375,A,,R,370,R,370,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
485698,2,2,R,12446,R,0,R,1,R,84,R,50,R,4048,R,0,R,16578,R,51,R,16629,R,351,R,102,R,453,2,A,,A,,1,R,7,R,1,R,0,R,0,R,6,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
485768,1,2,R,974,R,518231,R,128,R,0,R,3325,R,18,R,135,R,992,R,521819,R,522811,R,801,R,758,R,1559,2,A,,A,,1,R,1,R,1,R,0,R,0,R,0,R,0,R,63700,2,Z,0,R,1500,R,151300,R,0,R,152800,R,0,R,0,R,0,R,216500,216500
485953,2,1,A,,R,500,R,0,A,,R,0,A,,R,0,A,,R,500,R,500,A,,R,600,R,600,2,A,,A,,1,R,1,R,0,R,1,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
485999,2,2,R,5000,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,R,5000,R,3,R,5003,R,0,R,6000,R,6000,2,A,,A,,1,R,0.9,R,0,R,0,R,0,R,0.9,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486017,2,2,R,3500,R,117400,Z,0,R,0,R,0,R,0,R,0,R,3500,R,117400,R,120900,R,0,R,50,R,50,2,A,,A,,1,R,0.25,R,0,R,0,R,0,R,0.25,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486026,2,2,R,24220,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,R,24220,R,1,R,24221,R,0,R,1000,R,1000,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486053,1,2,R,10614,R,243128,R,39,R,47,R,0,R,0,R,8740,R,10661,R,251907,R,262568,R,100,R,6651,R,6751,1,R,17,R,49,1,R,3.03,R,0.63,R,0.5,R,0.5,R,1.4,R,0,R,108779,2,Z,0,R,9060,R,16299,R,4342,R,29701,R,0,R,67256,R,67256,R,205736,205736
486123,2,2,R,2000,R,0,R,0,R,2,R,0,R,0,R,0,R,2002,R,0,R,2002,R,200,R,0,R,200,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486196,2,2,R,8800,R,0,R,0,R,0,R,0,R,0,R,0,R,8800,R,0,R,8800,R,0,R,0,R,0,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486239,1,2,R,1186,R,1684,R,58,R,0,R,0,R,0,R,1733,R,1186,R,3475,R,4661,R,248,R,966,R,1214,2,A,,A,,1,R,2,R,1,R,1,R,0,R,0,R,0,R,75000,2,Z,0,R,61125,R,5000,R,1000,R,67125,R,0,R,15621,R,15621,R,157746,157746
486257,2,2,R,15606,R,194,R,52,R,858,Z,0,Z,0,R,2,R,16464,R,248,R,16712,R,735,R,4825,R,5560,2,A,,A,,1,R,1.5,R,1,R,0,R,0,R,0.5,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486284,2,2,R,16795,R,0,R,36,R,818,R,0,R,18,R,0,R,17631,R,36,R,17667,R,400,R,200,R,600,2,A,,A,,1,R,1.1,R,0.5,R,0,R,0.25,R,0.35,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486354,2,2,R,1600,R,400,R,0,R,35,R,345,Z,0,R,0,R,1635,R,745,R,2380,R,147,R,665,R,812,2,A,,A,,1,R,3,R,1,R,1,R,0,R,1,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486372,2,2,R,150,R,225,R,0,R,310,R,1125,R,0,R,0,R,460,R,1350,R,1810,R,155,R,895,R,1050,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486415,2,2,R,600,R,1286,R,3,R,0,R,1,R,6,R,1616,R,606,R,2906,R,3512,R,116,R,120,R,236,2,A,,A,,1,R,2,R,1,R,1,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486424,2,2,R,32400,R,2700,R,6200,R,500,R,6700,R,0,Z,0,R,32900,R,15600,R,48500,R,350,R,350,R,700,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486433,2,1,A,,R,0,R,4,A,,R,0,A,,R,6000,A,,R,6004,R,6004,A,,R,21000,R,21000,2,A,,A,,1,R,0.15,R,0.15,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486488,2,2,R,743,R,0,R,0,R,11300,R,0,R,500,R,0,R,12543,R,0,R,12543,R,0,R,0,R,0,2,A,,A,,1,R,0.5,R,0.5,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
486840,1,2,R,289779,R,1957131,R,456,R,17059,R,238974,R,843,R,299109,R,307681,R,2495670,R,2803351,R,12395,R,137781,R,150176,1,R,4452,R,7130,1,R,71,R,28,R,1,R,27,R,15,R,1,R,3324988,1,R,1164980,R,99842,R,2324679,R,4103,R,2428624,R,0,R,289292,R,289292,R,7207884,6042904
486901,1,2,R,136259,R,251729,R,86,R,3183,R,45738,R,607,R,54072,R,140049,R,351625,R,491674,R,2909,R,42827,R,45736,1,R,442,R,776,1,R,11.14,R,4.75,R,0,R,0,R,6.39,R,1,R,275799,2,Z,0,R,0,R,204735,R,0,R,204735,R,0,R,61284,R,61284,R,541818,541818
487010,1,2,R,15701,R,8533,R,74,R,0,R,0,R,122,R,15568,R,15823,R,24175,R,39998,R,212,R,533769,R,533981,1,R,3634,R,3339,1,R,20.25,R,11,R,1,R,8,R,0.25,R,0,R,1457218,2,Z,0,R,12079,R,2443477,R,24748,R,2480304,R,0,R,79035,R,79035,R,4016557,4016557
487162,1,2,R,44709,R,425289,R,228,R,1644,R,1072,R,178,R,467874,R,46531,R,894463,R,940994,R,11358,R,62121,R,73479,1,R,79,R,15,1,R,14,R,7,R,0,R,3,R,4,R,5,R,306440,2,Z,0,R,102313,R,22077,R,2207,R,126597,R,0,R,12016,R,12016,R,445053,445053
487302,2,2,R,1944,R,0,R,111,R,100,R,0,R,0,R,0,R,2044,R,111,R,2155,R,18,R,0,R,18,2,A,,A,,1,R,1,R,1,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487311,2,2,R,75,R,3,R,3,R,55,R,0,R,0,R,0,R,130,R,6,R,136,R,110,R,185,R,295,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487320,1,2,R,84466,R,743536,R,133,R,6297,R,29281668,R,0,R,509185,R,90763,R,30534522,R,30625285,R,739,R,67311,R,68050,2,A,,A,,1,R,8.75,R,4,R,1,R,2,R,1.75,R,3,R,372494,2,Z,0,R,23324,R,31930,R,527,R,55781,R,122,R,160208,R,160330,R,588605,588605
487375,2,1,A,,R,501411,R,21,A,,R,78,A,,R,66403,A,,R,567913,R,567913,A,,R,3242,R,3242,2,A,,A,,1,R,2,R,1,R,0,R,1,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487393,2,2,R,783,R,512,R,47,R,2,R,24353,R,0,R,61785,R,785,R,86697,R,87482,R,0,R,16,R,16,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487409,2,2,R,1247,R,512,R,47,R,40,R,24353,R,0,R,61785,R,1287,R,86697,R,87984,R,0,R,39,R,39,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487418,2,2,R,774,R,512,R,47,R,54,R,24353,R,0,R,61785,R,828,R,86697,R,87525,R,0,R,87,R,87,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487445,2,2,R,401,R,512,R,47,R,259,R,24353,R,0,R,61785,R,660,R,86697,R,87357,R,0,R,1,R,1,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487454,2,2,R,338,R,512,R,47,R,134,R,24353,R,0,R,61785,R,472,R,86697,R,87169,R,0,R,62,R,62,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487490,2,2,R,178,R,512,R,47,R,0,R,24353,R,0,R,61785,R,178,R,86697,R,86875,R,0,R,96,R,96,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487524,1,2,R,35663,R,249310,R,87,R,402,R,80384,R,859,R,69641,R,36924,R,399422,R,436346,R,532,R,2037,R,2569,1,R,2529,R,1334,1,R,5.6,R,2,R,0,R,0,R,3.6,R,0,R,220033,1,R,24000,R,1165,R,360960,R,27286,R,389411,R,0,R,9634,R,9634,R,643078,619078
487588,2,2,R,189,R,36,R,8,R,15,R,0,R,0,R,0,R,204,R,44,R,248,R,0,R,4587,R,4587,2,A,,A,,1,R,1,R,0,R,1,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487597,1,2,R,165,R,0,R,20,R,0,R,1260,R,14,R,0,R,179,R,1280,R,1459,R,170,R,16,R,186,2,A,,A,,1,R,1,R,0,R,1,R,0,R,0,R,0,R,118255,2,Z,0,R,0,R,650,R,350,R,1000,R,0,R,0,R,0,R,119255,119255
487649,2,1,A,,R,302875,R,119,A,,R,11357,A,,R,91905,A,,R,406256,R,406256,A,,R,3340,R,3340,2,A,,A,,1,R,0.29,R,0.29,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487658,2,2,R,100,Z,0,Z,0,R,50,R,27,Z,0,Z,0,R,150,R,27,R,177,R,131,R,112,R,243,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487746,2,2,R,3700,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,R,3700,R,2,R,3702,R,0,R,8000,R,8000,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487861,2,2,R,286,R,5398,R,82,R,5,R,218,R,0,R,22438,R,291,R,28136,R,28427,R,205,R,4140,R,4345,2,A,,A,,1,R,1,R,1,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487968,2,2,R,11,R,0,R,0,R,0,R,0,R,0,R,0,R,11,R,0,R,11,R,0,R,0,R,0,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
